,dimensiones,subpoblaciones,tiempo_exec
523,120,32,32
524,120,62,28
525,120,92,35
526,121,2,7
527,121,32,32
528,121,62,26
529,121,92,43
530,122,2,6
531,122,32,32
532,122,62,24
533,122,92,36
534,122,122,49
535,123,2,10
536,123,32,35
537,123,62,33
538,123,92,53
539,123,122,48
540,124,2,8
541,124,33,14
542,124,64,33
543,124,95,61
544,125,2,8
545,125,33,19
546,125,64,37
547,125,95,50
548,126,2,7
549,126,33,36
550,126,64,26
551,126,95,49
552,126,126,58
553,127,2,9
554,127,33,16
555,127,64,34
556,127,95,41
557,127,126,60
558,128,2,11
559,128,34,36
560,128,66,31
561,128,98,68
562,129,2,7
563,129,34,38
564,129,66,50
565,129,98,71
566,130,2,7
567,130,34,16
568,130,66,29
569,130,98,41
570,130,130,49
571,131,2,12
572,131,34,36
573,131,66,32
574,131,98,44
575,131,130,54
576,132,2,8
577,132,35,37
578,132,68,29
579,132,101,44
580,133,2,8
581,133,35,28
582,133,68,31
583,133,101,67
584,134,2,8
585,134,35,39
586,134,68,32
587,134,101,45
588,134,134,55
589,135,2,17
590,135,35,18
591,135,68,31
592,135,101,76
593,135,134,75
594,136,2,7
595,136,36,16
596,136,70,32
597,136,104,48
598,137,2,7
599,137,36,34
600,137,70,56
601,137,104,48
602,138,2,9
603,138,36,18
604,138,70,34
605,138,104,49
606,138,138,68
607,139,2,10
608,139,36,30
609,139,70,33
610,139,104,49
611,139,138,59
612,140,2,8
613,140,37,18
614,140,72,56
615,140,107,54
616,141,2,8
617,141,37,17
618,141,72,41
619,141,107,81
620,142,2,7
621,142,37,18
622,142,72,37
623,142,107,67
624,142,142,111
625,143,2,17
626,143,37,18
627,143,72,40
628,143,107,54
629,143,142,66
630,144,2,19
631,144,38,19
632,144,74,67
633,144,110,85
634,145,2,8
635,145,38,18
636,145,74,64
637,145,110,66
638,146,2,16
639,146,38,36
640,146,74,65
641,146,110,59
642,146,146,77
643,147,2,20
644,147,38,19
645,147,74,59
646,147,110,84
647,147,146,78
648,148,2,13
649,148,39,41
650,148,76,42
651,148,113,59
652,149,2,21
653,149,39,19
654,149,76,40
655,149,113,64
656,150,2,8
657,150,39,20
658,150,76,42
659,150,113,65
660,150,150,98
661,151,2,9
662,151,39,23
663,151,76,41
664,151,113,67
665,151,150,73
666,152,2,19
667,152,40,42
668,152,78,61
669,152,116,82
670,153,2,10
671,153,40,41
672,153,78,43
673,153,116,65
674,154,2,10
675,154,40,42
676,154,78,74
677,154,116,65
678,154,154,78
679,155,2,15
680,155,40,23
681,155,78,50
682,155,116,79
683,155,154,88
684,156,2,9
685,156,41,44
686,156,80,45
687,156,119,69
688,157,2,13
689,157,41,22
690,157,80,45
691,157,119,73
692,158,2,9
693,158,41,23
694,158,80,53
695,158,119,78
696,158,158,106
697,159,2,9
698,159,41,22
699,159,80,74
700,159,119,73
701,159,158,111
702,160,2,22
703,160,42,23
704,160,82,62
705,160,122,74
706,161,2,9
707,161,42,34
708,161,82,58
709,161,122,78
710,162,2,9
711,162,42,23
712,162,82,59
713,162,122,75
714,162,162,106
715,163,2,10
716,163,42,24
717,163,82,53
718,163,122,87
719,163,162,92
720,164,2,10
721,164,43,26
722,164,84,59
723,164,125,115
724,165,2,19
725,165,43,25
726,165,84,51
727,165,125,84
728,166,2,13
729,166,43,24
730,166,84,61
731,166,125,108
732,166,166,102
733,167,2,9
734,167,43,26
735,167,84,85
736,167,125,81
737,167,166,94
738,168,2,9
739,168,44,26
740,168,86,64
741,168,128,87
742,169,2,10
743,169,44,26
744,169,86,64
745,169,128,98
746,170,2,9
747,170,44,56
748,170,86,61
749,170,128,96
750,170,170,104
751,171,2,11
752,171,44,44
753,171,86,57
754,171,128,88
755,171,170,100
756,172,2,10
757,172,45,32
758,172,88,59
759,172,131,114
760,173,2,13
761,173,45,29
762,173,88,62
763,173,131,91
764,174,2,10
765,174,45,27
766,174,88,61
